No of Persons Voted,Duration_Min,Drama,Genre_Count,Description_Word_Count,Description_Char_Count,Written_by_freq,No of Persons Voted_Log,Release_Year,Film_Age,Release_Decade,Rating
196.0,109.0,0.0,1.0,32.0,188.0,5.0,5.2832037287379885,1978.0,47.0,1970.0,5.4
196.0,109.0,0.0,1.0,32.0,188.0,5.0,5.2832037287379885,1978.0,47.0,1970.0,5.4
196.0,109.0,0.0,1.0,30.0,186.0,5.0,5.2832037287379885,2018.0,7.0,2010.0,5.4
196.0,109.0,0.0,1.0,30.0,186.0,5.0,5.2832037287379885,2018.0,7.0,2010.0,5.4
150.0,111.0,1.0,2.0,44.0,255.0,1.0,5.017279836814924,2001.0,24.0,2000.0,7.7
474.0,100.0,1.0,4.0,62.0,394.0,1.0,6.163314804034641,2010.0,15.0,2010.0,7.5
149.0,103.0,1.0,2.0,40.0,248.0,7.0,5.0106352940962555,2006.0,19.0,2000.0,7.7
42.0,115.0,1.0,1.0,100.0,619.0,1.0,3.7612001156935624,2015.0,10.0,2010.0,7.6
18.0,92.0,1.0,4.0,117.0,687.0,1.0,2.9444389791664403,2017.0,8.0,2010.0,6.5
142.0,105.0,1.0,2.0,87.0,506.0,1.0,4.962844630259907,2023.0,2.0,2020.0,8.2
279.0,135.0,1.0,2.0,107.0,699.0,1.0,5.634789603169249,1977.0,48.0,1970.0,7.8
1309.0,200.0,1.0,2.0,55.0,318.0,1.0,7.177782416195197,1974.0,51.0,1970.0,9.1
14.0,116.0,0.0,1.0,97.0,642.0,1.0,2.70805020110221,2021.0,4.0,2020.0,5.9
15.0,246.0,0.0,1.0,15.0,96.0,1.0,2.772588722239781,2001.0,24.0,2000.0,7.5
34.0,107.0,1.0,3.0,47.0,300.0,2.0,3.5553480614894135,2002.0,23.0,2000.0,7.9
431.0,179.0,1.0,2.0,109.0,674.0,1.0,6.068425588244111,2013.0,12.0,2010.0,7.7
574.0,130.0,1.0,2.0,97.0,635.0,7.0,6.354370040797351,2017.0,8.0,2010.0,7.7
70.0,101.0,1.0,3.0,33.0,230.0,1.0,4.2626798770413155,2003.0,22.0,2000.0,7.6
137.0,137.0,1.0,3.0,27.0,181.0,1.0,4.927253685157205,2001.0,24.0,2000.0,7.3
4.0,105.0,0.0,1.0,124.0,811.0,1.0,1.6094379124341003,2021.0,4.0,2020.0,2.5
19.0,88.0,0.0,5.0,59.0,411.0,1.0,2.995732273553991,2011.0,14.0,2010.0,7.3
16.0,115.0,1.0,1.0,121.0,751.0,1.0,2.833213344056216,2016.0,9.0,2010.0,5.2
26.0,107.0,1.0,2.0,35.0,230.0,6.0,3.295836866004329,2021.0,4.0,2020.0,6.2
